Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
About Last Night,Drama,R ,113,7/1/1986,7,1986,12500000,Rob Lowe,Demi Moore,Jim Belushi,Edward Zwick,David Mamet,"David Mamet's play +Sexual Perversity in Chicago was adapted for the big screen by fellow Chicago citizen Tim Kazurinsky and became About Last Night... The film stars Rob Lowe as Danny and Demi Moore as Debbie. The pair meet and engage in a torrid sexual relationship, but then slowly negotiate if there is anything more between them. Lowe seeks advice from his loudmouthed friend Bernie (Chicago native James Belushi), whose offers little more than outrageous tales of his randy exploits. Debbie confides in her best friend Joan (Elizabeth Perkins), a bitter, single kindergarten teacher who has lost any hope of finding the right person on the dating scene. Although Danny and Debbie talk, they have trouble communicating. The film ends on a coda that suggests the pair are still unsure as to where their relationship may be headed.",Fresh,61,28,Spilled,59,12669
Windtalkers,Drama,R ,134,6/14/2002,6,2002,115000000,Nicolas Cage,Adam Beach,Peter Stormare,John Woo,Joe Batteer,"Loosely based on a real-life operation during World War II, this action-adventure from director John Woo stars Nicolas Cage as Joe Enders, a Marine traumatized by the loss of his entire platoon in the Solomon Islands during an ambush he believes was deadlier than necessary due to his indecision. Suffering from eardrum damage in Hawaii, Joe manages to be declared fit for duty once again thanks to a sympathetic nurse (Frances O'Connor), but his new assignment isn't what he expects. Joe is ordered to safeguard a Navajo soldier named Ben Yahzee (Adam Beach) because the military has developed a new secret code based on the near-dead Navajo language that is proving unbreakable to the Japanese. Any soldier that speaks Navajo is an immediate asset, including Ben and his pal, Charlie Whitehorse (Roger Willie). Joe's orders are to ""baby sit"" Ben during the invasion of Saipan, protecting him if possible, but -- if the code-talker's capture becomes imminent -- to kill him before he falls into enemy hands. Meanwhile, Charlie is to be guarded by affable harmonica player Ox Henderson (Christian Slater). Joe reluctantly accepts this new duty as a way to get back into the war, and in the ensuing carnage, his nearly suicidal acts of bravery make him a hero while Ben becomes paralyzed by fear. Determined to live up to Joe's example, Ben musters up his courage, even in the face of racism from a fellow soldier (Noah Emmerich), and ends up rescuing his own protector behind enemy lines by briefly posing as a Japanese soldier. Despite their growing mutual respect, Joe is eventually forced to take an action that threatens to shatter his bond with Ben, as the war's tragic losses strike closer to home for both men. Windtalkers co-stars Peter Stormare, Jason Isaacs, and Mark Ruffalo.",Rotten,33,169,Spilled,50,66873
The Hills Have Eyes,Drama,R ,95,3/10/2006,3,2006,230000,Emilie De Ravin,Aaron Stanford,Dan Byrd,Alexandre Aja,Alexandre Aja,"""The Hills Have Eyes"" is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic testing zone. Miles from nowhere, the Carters soon realize the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family. And, they are the prey.",Fresh,65,26,Spilled,54,51983
If I Stay,Drama,PG-13 ,106,8/22/2014,8,2014,11000000,Mireille Enos,Joshua Leonard,Jamie Blackley,R.J. Cutler,Shauna Cross,"Mia Hall (Chlo Grace Moretz) thought the hardest decision she would ever face would be whether to pursue her musical dreams at Juilliard or follow a different path to be with the love of her life, Adam (Jamie Blackley). But what should have been a carefree family drive changes everything in an instant, and now her own life hangs in the balance. Caught between life and death for one revealing day, Mia has only one decision left, which will not only decide her future but her ultimate fate. ""If I Stay"" is based on the best-selling novel of the same name. (c) Warner Bros",Rotten,35,140,Upright,61,48875
The Spanish Prisoner,Drama,PG ,112,9/8/1997,9,1997,10000000,Campbell Scott,Rebecca Pidgeon,Steve Martin,David Mamet,David Mamet,"A gentler, kinder David Mamet ventures into Hitchcock country with this amiable brain-twister about an electronics whiz whose invention gets him caught up in a world of corruption, intrigue and murder.",Certified-Fresh,89,61,Upright,80,7798
Song to Song,Drama,R ,129,3/17/2017,3,2017,10000000,Ryan Gosling,Rooney Mara,Michael Fassbender,Terrence Malick,Terrence Malick,"In this modern love story set against the Austin, Texas music scene, two entangled couples--struggling songwriters Faye (Rooney Mara) and BV (Ryan Gosling), and music mogul Cook (Michael Fassbender) and the waitress whom he ensnares (Natalie Portman)--chase success through a rock 'n' roll landscape of seduction and betrayal.",Rotten,44,131,Spilled,36,6649
The Believer,Drama,R ,98,4/1/2002,4,2002,1500000,Ryan Gosling,Summer Phoenix,Theresa Russell,Henry Bean,Henry Bean,"A highly charged drama centering on a Jewish Nazi and based upon a real-life tale, this film by Henry Bean looks at young Danny Balint (Ryan Gosling), a former yeshiva student with a thorough knowledge of the Torah who is first seen as an angry skinhead roaming the streets of New York City. Danny has found allies in the home of Lina Moebius (Theresa Russell), where fascist leader Curtis Zampf (Billy Zane) has been speaking, and he begins to become part of their circle, including romancing Lina's troubled daughter Carla (Summer Phoenix). After a fight in a kosher deli, Danny and his skinhead pals are sentenced to sensitivity sessions with elderly Holocaust survivors, and though Danny is angered by their passivity, their stories haunt him. When the bombing of a synagogue is proposed, Danny is shocked to learn that he cares somewhat for this history that he has been ignoring. Living a more peaceful Jewish existence by day and a hate-fueled skinhead life at night, Danny is conflicted by his upbringing and the desire to question it. The Believer was the Grand Jury Prize winner at the 2001 Sundance Film Festival.",Certified-Fresh,83,93,Upright,82,25212
Panic Room,Drama,R ,112,3/29/2002,3,2002,48000000,Jodie Foster,Kristen Stewart,Forest Whitaker,David Fincher,David Koepp,"After purchasing a brownstone in New York, a thirty-something divorced woman and her daughter are forced to take advantage of the hidden room - the ""panic room"" - when intruders break into their home.",Certified-Fresh,75,186,Upright,63,235911
Eyes Wide Shut,Drama,R ,159,7/16/1999,7,1999,65000000,Tom Cruise,Nicole Kidman,Sydney Pollack,Stanley Kubrick,Fredrick Raphael,"After learning of his wife's flirtatious behavior, Dr. William Harford goes on an odyssey of his own.",Certified-Fresh,75,157,Upright,73,192639
Hotel Rwanda,Drama,PG-13 ,121,12/22/2004,12,2004,17500000,Don Cheadle,Sophie Okonedo,Nick Nolte,Terry George,Terry George,"Ten years ago some of the worst atrocities in the history of mankind took place in the country of Rwanda--and in an era of high-speed communication and round the clock news, the events went almost unnoticed by the rest of the world. In only three months, one million people were brutally murdered. In the face of these unspeakable actions, inspired by his love for his family, an ordinary man summons extraordinary courage to save the lives of over a thousand helpless refugees, by granting them shelter in the hotel he manages.",Certified-Fresh,91,194,Upright,94,241443
Vicky Cristina Barcelona,Drama,PG-13 ,96,5/17/2008,5,2008,15000000,Javier Bardem,Penelope Cruz,Scarlett Johansson,Woody Allen,Woody Allen,"Vicky and Cristina, these two young Americans spend a summer in Spain and meet a flamboyant artist and his beautiful but insane ex-wife. Vicky is straight-laced and about to be married. Cristina is a sexually adventurous free spirit. When they all become amorously entangled, both comedic and harrowing results ensue.",Certified-Fresh,81,210,Upright,74,104047
Prisoners,Drama,R ,153,9/20/2013,9,2013,46000000,Jake Gyllenhaal,Hugh Jackman,Viola Davis,Denis Villeneuve,Aaron Guzikowski,"PRISONERS, from Oscar (R)-nominated director Denis Villeneuve, stars Oscar (R) nominees Hugh Jackman and Jake Gyllenhaal in a story that poses the question: How far would you go to protect your child? Keller Dover (Jackman) is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street. Heading the investigation, Detective Loki (Gyllenhaal) arrests its driver, Alex Jones (Paul Dano), but a lack of evidence forces the only suspect's release. Knowing his child's life is at stake, the frantic Dover decides he has no choice but to take matters into his own hands. But just how far will this desperate father go to protect his family? (c) WB",Certified-Fresh,81,252,Upright,87,108457
Exorcist: The Beginning,Drama,R ,114,8/20/2004,8,2004,80000000,Cast Not Available,Cast Not Available,Cast Not Available,Director Not Available,Writer Not Available,"The first prequel in the series, Exorcist: The Beginning is based upon events featured as flashbacks in 1977's Exorcist II: The Heretic. Playing the character made famous by Max von Sydow in the earlier films, this entry finds Stellan Skarsgrd as a young Father Merrin facing true evil for the first time while doing missionary work in Africa in the wake of World War II. When a young local boy begins to behave strangely, it becomes more and more apparent to Merrin that the child is a victim of demonic possession. Together with Father William Francis, a fellow cleric played by Gabriel Mann (Josie and the Pussycats, The Bourne Identity), Merrin must square off against the demon, Pazuzu, for the first of many times. Boasting a first-time screenplay by best-selling novelist Caleb Carr (The Alienist), Exorcist: The Beginning features a supporting cast headed by Clara Bellar (The Sleepy Time Gal, A.I.: Artificial Intelligence) and European pop star Billy Crawford in his first big-screen acting role. Planned for years, but plagued by problems such as the death of director John Frankenheimer (before production had even begun) and the exit of star Liam Neeson, the fourth installment of the Exorcist saga finally got off the ground with Paul Schrader (Affliction, Auto Focus) behind the camera and Skarsgrd filling the shoes left empty by Neeson. But the pitfalls didn't stop there, as Warner Bros. was disappointed with the approach taken by Schrader after seeing his finished cut, and hired an uncredited Renny Harlin to helm six weeks of reshoots.",Rotten,10,134,Spilled,27,80465
High Crimes,Drama,PG-13 ,115,4/5/2002,4,2002,42000000,Ashley Judd,Morgan Freeman,Jim Caviezel,Carl Franklin,Yuri Zeltser,"Defense attorney Claire Kubik (Ashley Judd) seems to have the perfect life. She has a high profile job at a big firm, a beautiful home outside San Francisco, and a husband, Tom (James Caviezel of The Thin Red Line), who loves her. Claire's biggest problem appears to be that she wants to have a baby, and she's having trouble getting pregnant. But when the police investigate a routine break-in at her home, they uncover the truth about her husband's identity, and her life is thrown into turmoil. Claire finds out that her husband's name is actually Ron Chapman, and that he's an ex-marine accused of murdering seven innocent civilians in El Salvador during a raid in the late '80s. He admits that he was there, and that he changed his identity to escape prosecution for the crimes, but he insists that he's innocent, and that the massacre was committed by another soldier under the orders of a powerful general (Bruce Davison), who is using Ron as a patsy to cover it up. Claire is eventually convinced that Ron's telling the truth. Faced with defending her husband in an unfamiliar military courtroom, Claire enlists the aid of Charles Grimes (Morgan Freeman), an ex-Army judge advocate with an axe to grind. Stonewalled by the military bureaucracy at every turn, they uncover a web of deception and disappearing witnesses, and they soon find their own lives in danger. High Crimes was adapted from Joseph Finder's novel by the husband and wife screenwriting team of Yuri Zeltser and Cary Bickley. The film was directed by Carl Franklin (One False Move), and co-stars Amanda Peet and Adam Scott. ~ Josh Ralske, Rovi",Rotten,31,133,Spilled,50,38864
Intersection,Drama,R ,98,1/21/1994,1,1994,45000000,Richard Gere,Sharon Stone,Lolita Davidovich,Mark Rydell,David Rayfiel,"A man who may be on the verge of death quickly takes a thorough look at his life in this drama. Vincent Eastman (Richard Gere) is speeding along a mountain road in Canada when, while swerving to avoid a stalled van, he discovers that he's about to run headfirst into a trailer truck. As he's about to suffer a potentially fatal accident, Vincent finds himself flashing back on the events of his life -- most notably his relationships with his wife Sally (Sharon Stone), his mistress Olivia (Lolita Davidovich), and his daughter Meaghan (Jenny Morrison). While Vincent genuinely cares for Sally, he finds her cold and unemotional, but while the free-spirited Olivia has a passion for life that Sally lacks, Vincent can't bring himself to leave his wife for her. All parties involved feel that Vincent is hurting Meaghan with his inability to commit himself one way or the other, and his friend Neal (Martin Landau), a partner in his architectural firm, warns him that it is wrong for a man to live under two roofs at once. Intersection was an American adaptation of the 1970 French drama Les Choses de la Vie.",Rotten,9,32,Spilled,40,5892
The Hunger Games,Drama,PG-13 ,142,3/23/2012,3,2012,75000000,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Gary Ross,Billy Ray,"Every year in the ruins of what was once North America, the evil Capitol of the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games. A twisted punishment for a past uprising and an ongoing government intimidation tactic, The Hunger Games are a nationally televised event in which ""Tributes"" must fight with one another until one survivor remains. Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy. If she's ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. -- (C) Lionsgate",Certified-Fresh,84,310,Upright,81,902701
Black and White,Drama,R ,98,6/7/2002,6,2002,10000000,Robert Downey Jr.,Brooke Shields,Allan Houston,James Toback,James Toback,"The inner workings of the New York hip-hop scene, and the fascination of white observers with rap music and hip-hop culture, set the stage for this drama written and directed by James Toback. Rich Bower (Power) is a mover and shaker in the world of rap music (he's involved with a number of other licit and illicit business ventures as well), and his apartment is a favored meeting place for musicians, hangers-on, and hipsters who want to seem cool, including a clique of white kids who want to be on the inside of whey they consider the coolest scene of the day. Sam (Brooke Shields), a filmmaker, is making a documentary about Rich and his circle, with the help of her husband Terry (Robert Downey Jr.), a closeted homosexual who doesn't feel at home in this milieu. Dean (Allan Houston) is a talented college basketball player and Rich's friend since childhood who is offered a deal by a bookmaker, Mark (Ben Stiller) to throw a few games for a price. Dean takes the money against his better judgment, and he soon realizes how much of a mistake he made when Mark turns out to be a cop hoping to dig up dirt on Rich. Rich in turn discovers that Dean might be forced to tell what he knows to stay out of jail, and he decides that Dean has to be killed; however, rather than murder his friend himself, Rich asks one of the white kids who hangs out with him, who seems especially eager to prove himself, to do it for him. The kid, however, is actually the son of the District Attorney. Also contributing to Black and White's supporting cast are controversial boxing legend Mike Tyson, musician Bijou Phillips, Wu Tang Clan rapper Raekwon, model Claudia Schiffer, and Donald Trump's former spouse Marla Maples.",Rotten,20,10,Spilled,26,210
Dawn of the Dead,Drama,R ,109,3/19/2004,3,2004,28000000,Sarah Polley,Ving Rhames,Jake Weber,Zack Snyder,James Gunn (II),"Packed with more blood, more gore, and more bone-chilling, jaw-dropping thrills, Dawn of the Dead Unrated Director's Cut is the version too terrifying to be shown in theaters! Starring Mekhi Phifer, Ving Rhames and Sarah Polley in an edgy, electrifying thrill-ride. When a mysterious virus turns people into mindless, flesh-eating zombies, a handful of survivors wage a desperate, last-stand battle to stay alive and human.",Certified-Fresh,75,188,Upright,77,404001
Dead Man Walking,Drama,R ,120,12/29/1995,12,1995,11000000,Susan Sarandon,Sean Penn,Robert Prosky,Tim Robbins,Tim Robbins,"Tim Robbins' second directorial effort (after the political satire Bob Roberts) was this drama based on a true story, which explores the issue of capital punishment. Sister Helen Prejean (Susan Sarandon) is a nun and teacher living in rural Louisiana. One day, she receives a letter from Matthew Poncelet (Sean Penn), who is scheduled to be executed soon for the rape and murder of two teenagers. After meeting Matthew, Sister Helen agrees to serve as spiritual counselor and see what she can do to stay the execution. However, Matthew's claims of innocence seem shaky at best, and it's clear he's a reprehensible, amoral racist. When it becomes obvious that Matthew's sentence will be carried out, Sister Helen offers what comfort she can to Matthew, but also tries to guide him to an open admission of the extent of his crimes and an acceptance of divine forgiveness, telling him ""I want the last face you see to be the face of love."" Susan Sarandon won an Oscar for her performance as Sister Prejean, and Sean Penn was similarly nominated for Best Actor as Matthew. ~ Mark Deming, Rovi",Certified-Fresh,95,61,Upright,86,61880
Woodlawn,Drama,PG ,123,10/16/2015,10,2015,12000000,Sean Astin,Nicholas Bishop,Caleb Castille,Jon Erwin,Jon Erwin,"In 1973, a spiritual awakening captures the hearts of the Woodlawn High School Football team. Lead by their coach, Tandy Geralds, and fueled by the team's dedication to love and unity in a school filled with racism and hate, the team makes an astounding run at the playoffs, leading to the largest high school football game ever played in the torn city of Birmingham, Alabama, and the rise of it's first African American superstar - Tony Nathan.",Fresh,73,15,Upright,81,9840
The Homesman,Drama,R ,122,11/14/2014,11,2014,16000000,Tommy Lee Jones,Hilary Swank,Meryl Streep,Tommy Lee Jones,Tommy Lee Jones,"When three women living on the edge of the American frontier are driven mad by harsh pioneer life, the task of saving them falls to the pious, independent-minded Mary Bee Cuddy (Hilary Swank). Transporting the women by covered wagon to Iowa, she soon realizes just how daunting the journey will be, and employs a low-life drifter, George Briggs (Tommy Lee Jones), to join her. The unlikely pair and the three women (Grace Gummer, Miranda Otto, Sonja Richter) head east, where a waiting minister and his wife (Meryl Streep) have offered to take the women in. But the group first must traverse the harsh Nebraska Territories marked by stark beauty, psychological peril and constant threat. (C) Roadside Entertainment",Certified-Fresh,81,153,Spilled,52,14225
Moneyball,Drama,PG-13 ,133,9/23/2011,9,2011,50000000,Brad Pitt,Jonah Hill,Philip Seymour Hoffman,Bennett Miller,Steven Zaillian,"Based on a true story, Moneyball is a movie for anybody who has ever dreamed of taking on the system. Brad Pitt stars as Billy Beane, the general manager of the Oakland A's and the guy who assembles the team, who has an epiphany: all of baseball's conventional wisdom is wrong. Forced to reinvent his team on a tight budget, Beane will have to outsmart the richer clubs. The onetime jock teams with Ivy League grad Peter Brand (Jonah Hill) in an unlikely partnership, recruiting bargain players that the scouts call flawed, but all of whom have an ability to get on base, score runs, and win games. It's more than baseball, it's a revolution - one that challenges old school traditions and puts Beane in the crosshairs of those who say he's tearing out the heart and soul of the game. -- (C) Sony Pictures",Certified-Fresh,94,266,Upright,86,91772
Infamous,Drama,R ,118,10/13/2006,10,2006,13000000,Toby Jones,Sandra Bullock,Daniel Craig,Douglas McGrath,George Plimpton,"Douglas McGrath's Infamous represents the second major biopic about the avant-garde belletrist Truman Capote to be released within a year. It thus tells roughly the same story as Bennett Miller's earlier Capote, recounting the events that belied the writer's six-year authorship of the seminal ""nonfiction novel"" In Cold Blood. The story opens with Capote (Toby Jones) visiting the site of the 1959 Clutter family homicide, on a Kansas research trip, accompanied by his close friend and colleague, author Harper Lee (Sandra Bullock). As Capote settles into the community, McGrath uses the preponderance of screen time to explore the emotional tapestry of Capote's increasingly risky emotional attachment to one of the two murderers, Perry Edward Smith (Daniel Craig), with whom he senses more than a few common bonds. McGrath weaves a decidedly bittersweet tale, contrasting the optimism and devil-may-care, ""conquer all"" attitude of Capote in his early years with a seemingly endless string of poor choices in the writer's later years, from addictions to drink and pills, to a failure to maintain healthy output as a writer, to poorly chosen romantic and sexual entanglements. Most significantly, however, McGrath reveals how the relationship with Smith virtually destroyed Capote as an artist and a human being, by inducing him to sell out on all levels to satisfy his lust for accomplishment and notoriety. ~ Nathan Southern, Rovi",Fresh,74,155,Upright,69,20725
Runner Runner,Drama,R ,91,10/4/2013,10,2013,30000000,Justin Timberlake,Gemma Arterton,Ben Affleck,Brad Furman,Brian Koppelman,"Richie, a Princeton college student who pays for school with on-line gambling, bottoms out and travels to Costa Rica to confront the on-line mastermind, Ivan, whom he believes has swindled him. Ivan sees a kindred spirit in Richie and brings the younger man into his operation. When the stakes get incredibly high and dangerous, and Richie comes to fully understand the deviousness of his new boss, he tries to turn the tables on him.",Rotten,8,119,Spilled,33,43051
Boys on the Side,Drama,R ,115,2/3/1995,2,1995,21000000,Whoopi Goldberg,Mary-Louise Parker,Marie-Louise Parker,Herbert Ross,Don Roos,"In the tradition of Fried Green Tomatoes, this touching drama focuses upon the relationships of three strong, independent women who come to love and need each other on the way to Southern California. The story begins in New York when Jane, a night club singer, chances to meet Jane, a tense real estate executive on a trip to souther CA. Jane's friend Holly joins them after she and her boyfriend the drug addict have a big fight. When Robin becomes terribly ill, the three must stop in Tucson where they set up a house. Jane, a lesbian, must come to grips with her romantic feelings toward the ailing Robin.",Fresh,74,35,Upright,69,35209
Love Story,Drama,PG ,100,12/16/1970,12,1970,2200000,Ali MacGraw,Ryan O'Neal,John Marley,Arthur Hiller,Erich Segal,"This distaff romantic tear jerker concerns a young couple who fall in love despite the objections of their families. Taken from Erich Segal's best selling novel, Jenny (Ali MacGraw) is the Radcliffe student of modest means who has worked hard to excel academically. Oliver Barrett IV (Ryan O'Neal) is the son of a wealthy but coldhearted father (Ray Milland). After graduating from law school, he takes a job at a prestigious law firm and moves in with Jenny. She tries to make a living as a vocal instructor as they both try to make it without outside economic help. Jenny soon is diagnosed with an incurable disease and inflicts the meaningless catch phrase from the film ""Love means never having to say you're sorry"" at least seven times. To date, no one has been able to fully explain the meaning behind this insipid statement that set an entire generation into denial and into therapy about feelings, wants and needs. The film was a box office smash that was nominated for seven Academy Awards, but only the music took home the coveted Oscar. Look for Tommy Lee Jones in an early role as one of Oliver's college chums. Love Story has endured as one of the top sob fest romantic tragedies of all time.",Fresh,68,25,Upright,75,35290
Schindler's List,Drama,R ,196,12/15/1993,12,1993,22000000,Liam Neeson,Ben Kingsley,Ralph Fiennes,Steven Spielberg,Steven Zaillian,"Based on a true story, Steven Spielberg's Schindler's List stars Liam Neeson as Oskar Schindler, a German businessman in Poland who sees an opportunity to make money from the Nazis' rise to power. He starts a company to make cookware and utensils, using flattery and bribes to win military contracts, and brings in accountant and financier Itzhak Stern (Ben Kingsley) to help run the factory. By staffing his plant with Jews who've been herded into Krakow's ghetto by Nazi troops, Schindler has a dependable unpaid labor force. For Stern, a job in a war-related plant could mean survival for himself and the other Jews working for Schindler. However, in 1942, all of Krakow's Jews are assigned to the Plaszow Forced Labor Camp, overseen by Commandant Amon Goeth (Ralph Fiennes), an embittered alcoholic who occasionally shoots prisoners from his balcony. Schindler arranges to continue using Polish Jews in his plant, but, as he sees what is happening to his employees, he begins to develop a conscience. He realizes that his factory (now refitted to manufacture ammunition) is the only thing preventing his staff from being shipped to the death camps. Soon Schindler demands more workers and starts bribing Nazi leaders to keep Jews on his employee lists and out of the camps. By the time Germany falls to the allies, Schindler has lost his entire fortune -- and saved 1,100 people from likely death. Schindler's List was nominated for 12 Academy Awards and won seven, including Best Picture and a long-coveted Best Director for Spielberg, and it quickly gained praise as one of the finest American movies about the Holocaust. ~ Mark Deming, Rovi",Certified-Fresh,97,100,Upright,97,411608
Glitter,Drama,PG-13 ,104,9/21/2001,9,2001,22000000,Mariah Carey,Max Beesley,Da Brat,Vondie Curtis-Hall,Kate Lanier,"The story of a gifted young singer, Billie Frank, who overcomes a turbulent childhood and struggles to find her true identity and voice. During her childhood, Billie is abandoned by her drug-addicted mother and is remanded to an orphanage. Years later, Billie is discovered by charismatic, irresistible ""bad boy"" DJ Julian Dice who hears her demo and, floored by her talent, gets her a record deal. She soon falls for him and he becomes her partner, producer and lover. With Dice, she begins an exciting but often volatile and precarious journey as she struggles through her personal and professional life, riding the roller coaster to superstardom. However, conflicts with Dice hold her back and she ultimately must begin to escape his influence and find her own style.",Rotten,6,87,Spilled,48,44321
Amelia,Drama,PG ,111,10/23/2009,10,2009,40000000,Hilary Swank,Richard Gere,Ewan McGregor,Stuart Dryburgh,Ronald Bass,"An extraordinary life of adventure, celebrity and continuing mystery comes to light in ""Amelia,"" a vast, thrilling account of legendary aviation pioneer Amelia Earhart. After becoming the first woman to fly across the Atlantic, Amelia was thrust into a new role as America's sweetheart -- the legendary ""goddess of light,"" known for her bold, larger-than-life charisma. Yet, even with her global fame solidified, her belief in flirting with danger and standing up as her own, outspoken woman never changed. She was an inspiration to people everywhere, from First Lady Eleanor Roosevelt to the men closest to her heart: her husband, promoter and publishing magnate George P. Putnam, and her long time friend and lover, pilot Gene Vidal. In the summer of 1937, Amelia set off on her most daunting mission yet: a solo flight around the world that she and George both anxiously foresaw as destined, whatever the outcome, to become one of the most talked-about journeys in history.",Rotten,20,165,Spilled,31,99349
Angels & Demons,Drama,PG-13 ,139,5/15/2009,5,2009,150000000,Tom Hanks,Ewan McGregor,Stellan Skarsgard,Ron Howard,Akiva Goldsman,"Angels and Demons re-teams director Ron Howard and star Tom Hanks for the sequel to their international blockbuster adaptation of Dan Brown's novel The Da Vinci Code. Although the book Angels and Demons was written before the novel The Da Vinci Code, the movie transpires after the events of the earlier movie. Hanks stars as professor Robert Langdon, the most respected symbologist in the United States, who uses his knowledge in order to decode a symbol on the skin of a murder victim. The clues put him on the trail of an international conspiracy involving the Catholic Church. Ewan McGregor and Ayelet Zurer also star in the Sony Pictures production. ~ Perry Seibert, Rovi",Rotten,37,259,Spilled,57,531765
Country Strong,Drama,PG-13 ,112,1/7/2011,1,2011,15000000,Gwyneth Paltrow,Tim McGraw,Garrett Hedlund,Shana Feste,Shana Feste,"Soon after a rising young singer-songwriter (Hedlund) gets involved with a fallen, emotionally unstable country star (Paltrow), the pair embarks on a career resurrection tour helmed by her husband/manager (McGraw) and featuring a beauty-queen-turned-singer (Meester). Between concerts, romantic entanglements and old demons threaten to derail them all. -- (C) Columbia",Rotten,22,134,Spilled,53,32991
Staying Alive,Drama,PG ,93,7/15/1983,7,1983,22000000,John Travolta,Cynthia Rhodes,Finola Hughes,Sylvester Stallone,Writer Not Available,"This sequel to Saturday Night Fever is set six years after Tony Manero (John Travolta) blew the competition away during a local disco contest. Now he is an aspiring Broadway dancer who finally gets a part in a show. Once there, he discovers that the glamour is but a facade for hours of hard work, and that it has a detrimental effect upon his social life. Sylvester Stallone penned the script and directed while his brother Frank Stallone wrote the soundtrack.",Rotten,0,26,Spilled,39,17958
Gone Baby Gone,Drama,R ,114,10/19/2007,10,2007,19000000,Casey Affleck,Michelle Monaghan,Morgan Freeman,Ben Affleck,Aaron Stockard,"Ben Affleck's adaptation of Dennis Lehane's novel Gone, Baby, Gone stars Casey Affleck as Patrick Kenzie, a private investigator from working-class Boston who takes on a case involving a kidnapped girl. The girl's aunt begs Patrick to take the case because he has connections to criminal Boston that the police do not. He agrees and along with his partner, Angie Gennaro (Michelle Monaghan), they uncover a web of corruption that threatens the relationship between the two. Ed Harris and Morgan Freeman co-star as members of the Boston Police Department. ~ Perry Seibert, Rovi",Certified-Fresh,94,180,Upright,86,209896
Rudy,Drama,PG ,114,10/13/1993,10,1993,12000000,Sean Astin,Ned Beatty,Jon Favreau,David Anspaugh,Writer Not Available,"Since he was a little boy, Rudy Ruttinger (Sean Astin) has idolized the University of Notre Dame and its football team. However, he is a small boy who will inevitably grow up to be a small man. Not only that, but he is not an outstanding student or even a particularly good athlete. His blue-collar family is convinced that he is only asking for heartache by aspiring so far beyond his abilities. For a while Rudy grudgingly accepts this assessment and goes to work in the local steel mill. His dream just won't die, and he eventually wins admission to the college of his dreams, In his junior year he tries out for the football team, but is able only to serve as a live tackle-dummy. Bruised and battered though he is, he is proud to have any connection with his team. By his senior year, the team has grown so fond of the boy that on the day of the final game, every member shows up at the coach's office and offers to give up his place on the squad in order to give Rudy one chance to suit up as a team member. The coach, moved and impressed, allows Rudy to suit up and lead the team to the benches. Then, once victory is assured, he lets Rudy participate in the final scrimmage of the game. Rudy acquits himself well, and his loving friends hoist him onto their shoulders and carry him off the field. This ""men's weepie"" is based on the true story of Rudy Ruttinger.",Certified-Fresh,78,46,Upright,90,127287
Perfume: The Story of a Murderer,Drama,R ,147,12/27/2006,12,2006,50000000,Ben Whishaw,Dustin Hoffman,Alan Rickman,Tom Tykwer,Tom Tykwer,"""Perfume"" is a terrifying story of murder and obsession set in 18th-century France. Jean-Baptiste Grenouille has a unique talent for discerning the scents and smells that swirl around him, which he uses to create the world's finest perfumes. Strangely lacking any scent of his own, he becomes obsessed with capturing the irresistible but elusive aroma of young womanhood. As Grenouille's obsession turns deadly, 12 young girls are found murdered. Panic breaks out as people rush to protect their daughters, while an unrepentant and unrelenting Grenouille still lacks the final ingredient to complete his quest.",Rotten,59,128,Upright,74,266502
City of Angels,Drama,PG-13 ,116,4/10/1998,4,1998,55000000,Nicolas Cage,Meg Ryan,Andre Braugher,Brad Silberling,Dana Stevens,"What happens when an angel falls in love with a mortal? In this Hollywoodized version of Wim Wenders' ""Wings of an Angel,"" the romance is as longing and deferred as it was in ""Sleepless in Seattle.""",Rotten,58,60,Upright,82,345593
